id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,bsmt_unf_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,pool_qc,fence,misc_feature,mo_sold,yr_sold,sale_type,saleprice,shifted_id,year_month,sale_timestamp,pid_5,pid_9,basement_finished_area,half_baths,full_baths,other_rooms_above_grade,exterior_developed_area,price_per_area
1311,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,624.0,GasA,Fa,N,SBrkr,624,720,0,1344,4,1,TA,Typ,0,,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,,,,5,2008,COD,98000,321,2008-5,1209600000000000000,0,1,0.0,0.0,1.0,2,96,72.91666666666667
770,20,RL,80.0,8816,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,Rec,Unf,470.0,GasA,TA,Y,SBrkr,1121,0,0,1121,3,1,TA,Typ,0,,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,,MnPrv,,6,2009,WD ,139000,426,2009-6,1243814400000000000,0,1,651.0,0.0,2.0,1,80,123.9964317573595
2063,20,RL,71.0,8197,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,660.0,GasA,Ex,Y,SBrkr,1285,0,0,1285,3,1,TA,Typ,1,TA,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,,MnPrv,,4,2007,WD ,143500,451,2007-4,1175385600000000000,0,1,0.0,1.0,1.0,3,138,111.67315175097276
69,60,FV,72.0,8640,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,732.0,GasA,Ex,Y,SBrkr,764,783,0,1547,3,1,Gd,Typ,0,,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,,,,6,2010,Con,215200,68,2010-6,1275350400000000000,1,0,24.0,1.0,2.0,3,214,139.10795087265674
2062,20,RL,109.0,8724,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,402.0,GasA,Gd,Y,SBrkr,894,0,0,894,3,1,TA,Typ,1,Po,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,,,,5,2007,WD ,129000,450,2007-5,1177977600000000000,0,1,492.0,0.0,1.0,1,0,144.29530201342283
351,120,RL,40.0,5664,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,343.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,2,1,Ex,Typ,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,,,,10,2009,WD ,278000,7,2009-10,1254355200000000000,1,0,1158.0,0.0,3.0,2,271,167.5708257986739
2393,60,RL,103.0,12867,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1209.0,GasA,Ex,Y,SBrkr,1209,1044,0,2253,3,1,Ex,Typ,1,Gd,Attchd,2005.0,Fin,2.0,575.0,TA,TA,Y,,,,7,2006,New,344133,87,2006-7,1151712000000000000,1,0,0.0,1.0,2.0,4,385,152.74434087882824
12,20,RL,,7980,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,233.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,3,1,TA,Typ,0,,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,,GdPrv,Shed,3,2010,WD ,185000,11,2010-3,1267401600000000000,1,0,935.0,0.0,3.0,2,504,155.85509688289807
2339,190,RL,100.0,34650,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,0.0,GasA,TA,N,SBrkr,1056,0,0,1056,3,1,TA,Typ,0,,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,,,,1,2006,WD ,145000,33,2006-1,1136073600000000000,1,0,1056.0,0.0,2.0,1,264,137.31060606060606
624,20,RL,92.0,10573,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,141.0,GasA,Ex,Y,SBrkr,1453,0,0,1453,3,1,TA,Typ,1,TA,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,,GdPrv,,4,2009,WD ,187500,280,2009-4,1238544000000000000,1,0,1312.0,0.0,3.0,2,337,129.04335856847902
86,20,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,224.0,GasA,Ex,Y,SBrkr,894,0,0,894,3,1,TA,Typ,1,Gd,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,,MnPrv,,4,2010,WD ,138500,85,2010-4,1270080000000000000,1,0,670.0,0.0,2.0,1,560,154.92170022371366
1534,50,RL,,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,336.0,GasA,Ex,Y,SBrkr,1265,673,0,1938,4,1,Gd,Min2,1,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,,,,7,2008,WD ,198000,544,2008-7,1214870400000000000,0,1,606.0,0.0,2.0,2,40,102.16718266253869
2243,190,C (all),75.0,8250,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,Unf,Unf,957.0,GasA,Fa,N,SBrkr,1034,957,0,1991,4,2,TA,Typ,0,,,,,0.0,0.0,,,N,,,,6,2007,WD ,119600,631,2007-6,1180656000000000000,0,1,0.0,0.0,2.0,3,133,60.070316423907585
1957,50,RL,60.0,8064,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,Mn,Unf,Unf,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,3,1,TA,Typ,1,Po,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,,MnPrv,Shed,7,2007,WD ,122900,345,2007-7,1183248000000000000,1,0,0.0,0.0,1.0,2,0,133.00865800865802
380,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,1420.0,GasA,TA,Y,SBrkr,2524,0,0,2524,4,1,Gd,Typ,1,Gd,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,,MnPrv,,7,2009,WD ,278000,36,2009-7,1246406400000000000,1,0,1104.0,1.0,3.0,4,594,110.14263074484944
2860,70,RL,,11435,Pave,,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,3,1,Gd,Typ,2,Gd,Detchd,1931.0,Unf,2.0,400.0,TA,TA,Y,,,,6,2006,WD ,230000,554,2006-6,1149120000000000000,0,1,0.0,0.0,1.0,3,0,151.61502966381016
2517,120,RL,30.0,9549,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,0.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,2,1,Ex,Typ,1,Gd,Attchd,1995.0,Fin,2.0,481.0,TA,TA,Y,,,,4,2006,WD ,270000,211,2006-4,1143849600000000000,1,0,1494.0,1.0,2.0,3,246,180.72289156626505
1933,20,RL,60.0,10950,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,507.0,GasA,TA,Y,SBrkr,948,0,0,948,2,1,TA,Typ,0,,Detchd,1952.0,Unf,2.0,410.0,TA,TA,N,,,,4,2007,WD ,125000,321,2007-4,1175385600000000000,1,0,441.0,0.0,1.0,2,48,131.85654008438817
820,20,RL,79.0,10637,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,417.0,GasA,Ex,Y,SBrkr,1718,0,0,1718,3,1,Gd,Typ,1,Gd,Attchd,2007.0,RFn,3.0,826.0,TA,TA,Y,,,,9,2009,WD ,297000,476,2009-9,1251763200000000000,0,1,1288.0,0.0,3.0,3,252,172.8754365541327
675,20,RL,80.0,9000,Pave,,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,Gd,Unf,Unf,160.0,GasA,Fa,Y,SBrkr,1142,0,0,1142,2,1,TA,Typ,1,Gd,Basment,1958.0,RFn,1.0,384.0,TA,TA,Y,,,,4,2009,WD ,113500,331,2009-4,1238544000000000000,1,0,0.0,0.0,1.0,2,92,99.38704028021016
2910,160,RM,41.0,2665,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,TA,TA,No,ALQ,Rec,36.0,GasA,Ex,Y,SBrkr,925,550,0,1475,4,1,TA,Typ,1,TA,Attchd,1977.0,RFn,1.0,336.0,TA,TA,Y,,,,7,2006,WD ,127000,604,2006-7,1151712000000000000,0,1,721.0,0.0,2.0,1,130,86.10169491525424
21,20,RL,105.0,11751,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1139.0,GasA,Ex,Y,SBrkr,1844,0,0,1844,3,1,TA,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,,MnPrv,,1,2010,COD,190000,20,2010-1,1262304000000000000,1,0,705.0,0.0,2.0,3,122,103.03687635574838
1873,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,326.0,GasA,Fa,Y,SBrkr,1242,0,0,1242,3,1,TA,Typ,1,TA,Attchd,1973.0,Unf,2.0,528.0,TA,TA,Y,,,,9,2007,WD ,175500,261,2007-9,1188604800000000000,1,0,916.0,1.0,1.0,2,0,141.30434782608697
2125,20,RL,60.0,8428,Pave,,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,Gd,No,GLQ,Unf,570.0,GasA,Ex,Y,SBrkr,990,0,0,990,3,1,TA,Typ,0,,Detchd,1995.0,Unf,1.0,384.0,TA,TA,Y,,,,7,2007,WD ,146000,513,2007-7,1183248000000000000,0,1,420.0,0.0,2.0,1,256,147.4747474747475
1489,20,RL,75.0,9937,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,CBlock,TA,TA,No,BLQ,LwQ,136.0,GasA,Gd,Y,SBrkr,1256,0,0,1256,3,1,TA,Typ,0,,Attchd,1965.0,Fin,1.0,276.0,TA,TA,Y,,,,6,2008,WD ,147500,499,2008-6,1212278400000000000,0,1,1120.0,1.0,2.0,2,804,117.43630573248407
2383,20,RL,107.0,13891,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,690.0,GasA,Ex,Y,SBrkr,2076,0,0,2076,2,1,Ex,Typ,1,Gd,Attchd,2006.0,Fin,3.0,850.0,TA,TA,Y,,,,9,2006,New,465000,77,2006-9,1157068800000000000,1,0,1386.0,1.0,3.0,4,445,223.98843930635837
983,85,RL,,9101,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,0.0,GasA,Ex,Y,SBrkr,1110,0,0,1110,1,1,Gd,Typ,1,TA,Attchd,1978.0,Fin,2.0,602.0,TA,TA,Y,,,,7,2009,WD ,165500,639,2009-7,1246406400000000000,0,1,1097.0,0.0,2.0,2,333,149.0990990990991
1325,50,RM,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1050.0,GasA,Ex,N,FuseF,1050,745,0,1795,4,1,TA,Typ,0,,Attchd,1954.0,Unf,1.0,352.0,Fa,TA,Y,,,,11,2008,WD ,131500,335,2008-11,1225497600000000000,0,1,0.0,0.0,2.0,2,0,73.25905292479109
1378,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,134.0,GasA,Ex,Y,SBrkr,1040,0,0,1040,3,1,TA,Typ,0,,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,,,,2,2008,WD ,129500,388,2008-2,1201824000000000000,0,1,906.0,0.0,2.0,1,0,124.51923076923077
1537,70,RL,100.0,9670,Pave,,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,TA,TA,PConc,TA,Fa,No,LwQ,Unf,398.0,GasA,TA,Y,SBrkr,983,890,0,1873,4,1,TA,Typ,2,Gd,Detchd,1935.0,Fin,2.0,786.0,Fa,TA,Y,,,,6,2008,WD ,257076,547,2008-6,1212278400000000000,0,1,210.0,1.0,1.0,4,207,137.25360384410038
905,50,RL,60.0,10998,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,BLQ,156.0,GasA,Ex,Y,SBrkr,984,620,0,1604,3,1,TA,Min2,0,,Detchd,1977.0,Unf,2.0,660.0,TA,TA,Y,,,,7,2009,WD ,117000,561,2009-7,1246406400000000000,0,1,828.0,0.0,2.0,2,68,72.9426433915212
1532,70,RL,60.0,7200,Pave,,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,TA,Fa,BrkTil,Gd,TA,No,Unf,Unf,776.0,GasA,TA,Y,SBrkr,851,651,0,1502,3,1,TA,Typ,1,Gd,Attchd,1931.0,RFn,1.0,270.0,TA,TA,P,,MnPrv,,2,2008,WD ,149000,542,2008-2,1201824000000000000,0,1,0.0,1.0,1.0,2,112,99.20106524633822
132,20,RL,80.0,9920,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,Rec,LwQ,412.0,GasA,TA,Y,SBrkr,1063,0,0,1063,3,1,TA,Typ,0,,Attchd,1954.0,RFn,1.0,280.0,TA,TA,Y,,MnPrv,,2,2010,WD ,128000,131,2010-2,1264982400000000000,1,0,644.0,0.0,2.0,2,164,120.41392285983066
